# Source: US Census Bureau, Vintage 2023 population estimates for cities and towns (public domain).
# https://www2.census.gov/programs-surveys/popest/datasets/2020-2023/cities/totals/
# The 1,500 largest places, plus a hand-set international list weighted to about 3% of draws.
# Written by tools/fetch-data.mjs. Do not edit by hand.
city,region,country,weight
Victoria,TX,USA,65800
Ames,IA,USA,65686
Union City,CA,USA,65414
Sanford,FL,USA,65394
Lorain,OH,USA,65337
Pflugerville,TX,USA,65301
Cheyenne,WY,USA,65168
Malden,MA,USA,65133
Brentwood,CA,USA,65126
Sammamish,WA,USA,65116
Muncie,IN,USA,65081
Skokie,IL,USA,64937
Palatine,IL,USA,64869
Burnsville,MN,USA,64772
Huntersville,NC,USA,64688
North Little Rock,AR,USA,64531
Waltham,MA,USA,64477
Union City,NJ,USA,64462
Bellevue,NE,USA,63922
Richland,WA,USA,63757
Casa Grande,AZ,USA,63743
Hendersonville,TN,USA,63618
Utica,NY,USA,63607
Moore,OK,USA,63470
Coon Rapids,MN,USA,63377
Kenner,LA,USA,63333
Lynwood,CA,USA,63234
South San Francisco,CA,USA,63123
Hamilton,OH,USA,62997
Laguna Niguel,CA,USA,62899
Porterville,CA,USA,62876
Marietta,GA,USA,62769
Parker,CO,USA,62743
Bossier City,LA,USA,62738
Kyle,TX,USA,62548
Council Bluffs,IA,USA,62399
San Clemente,CA,USA,62313
Lakewood,WA,USA,62303
Millcreek,UT,USA,62205
Eden Prairie,MN,USA,62166
Chapel Hill,NC,USA,62043
Pontiac,MI,USA,61689
Wellington,FL,USA,61634
Bristol,CT,USA,61601
Santa Cruz,CA,USA,61501
Shoreline,WA,USA,61353
Jupiter,FL,USA,61291
White Plains,NY,USA,61288
Taylor,MI,USA,61241
Palm Beach Gardens,FL,USA,61146
Woodland,CA,USA,61123
Corvallis,OR,USA,61087
Springfield,OR,USA,61085
Wylie,TX,USA,61078
La Habra,CA,USA,60991
Dearborn Heights,MI,USA,60872
Madison,AL,USA,60854
Encinitas,CA,USA,60841
Vineland,NJ,USA,60797
Stonecrest,GA,USA,60677
Blue Springs,MO,USA,60539
La Mesa,CA,USA,60537
Great Falls,MT,USA,60422
Taunton,MA,USA,60412
Owensboro,KY,USA,60140
Meriden,CT,USA,60111
Herriman,UT,USA,60049
Burlington,NC,USA,60032
Montebello,CA,USA,60015
Hanford,CA,USA,59938
Kokomo,IN,USA,59890
Euless,TX,USA,59686
San Rafael,CA,USA,59555
Santee,CA,USA,59478
Bentonville,AR,USA,59471
St. Peters,MO,USA,59413
Kannapolis,NC,USA,59321
Lake Havasu City,AZ,USA,59257
Pico Rivera,CA,USA,59189
Weymouth Town,MA,USA,59114
Apopka,FL,USA,59113
Youngstown,OH,USA,59108
North Miami,FL,USA,59008
Grand Forks,ND,USA,58921
Dubuque,IA,USA,58877
West Allis,WI,USA,58874
Petaluma,CA,USA,58800
Medford,MA,USA,58744
Casper,WY,USA,58720
Margate,FL,USA,58593
Lenexa,KS,USA,58536
Terre Haute,IN,USA,58502
Little Elm,TX,USA,58496
Beaumont,CA,USA,58463
Marana,AZ,USA,58430
Gardena,CA,USA,58377
Lacey,WA,USA,58326
Decatur,AL,USA,58321
Gilroy,CA,USA,58250
Hempstead,NY,USA,58225
Midwest City,OK,USA,58086
Springfield,OH,USA,58082
Pocatello,ID,USA,58064
Carson City,NV,USA,58036
Des Plaines,IL,USA,58010
Revere,MA,USA,57954
Brookhaven,GA,USA,57945
Monterey Park,CA,USA,57877
Westfield,IN,USA,57746
Coconut Creek,FL,USA,57694
Spring Hill,TN,USA,57637
Sarasota,FL,USA,57602
St. Clair Shores,MI,USA,57548
Royal Oak,MI,USA,57452
Smyrna,TN,USA,57418
Bozeman,MT,USA,57305
Cupertino,CA,USA,57285
Bowie,MD,USA,57254
Lancaster,PA,USA,57153
Winter Haven,FL,USA,57109
Taylorsville,UT,USA,57098
Bradenton,FL,USA,57076
Orland Park,IL,USA,57074
Albany,OR,USA,57053
Hoboken,NJ,USA,57010
Eagle Mountain,UT,USA,56932
Coeur d'Alene,ID,USA,56894
Kettering,OH,USA,56876
Southaven,MS,USA,56851
Kingsport,TN,USA,56704
Texas City,TX,USA,56609
Smyrna,GA,USA,56566
Bonita Springs,FL,USA,56229
Highland,CA,USA,56202
Bartlett,TN,USA,56030
New Brunswick,NJ,USA,55846
West Sacramento,CA,USA,55842
DeSoto,TX,USA,55740
Oak Lawn,IL,USA,55734
Olympia,WA,USA,55733
Tigard,OR,USA,55590
Port Arthur,TX,USA,55547
Fountain Valley,CA,USA,55468
San Jacinto,CA,USA,55440
Apple Valley,MN,USA,55336
Logan,UT,USA,55250
Perth Amboy,NJ,USA,55249
National City,CA,USA,55236
Burleson,TX,USA,55220
Anderson,IN,USA,55199
Valdosta,GA,USA,55025
Twin Falls,ID,USA,54943
Chicopee,MA,USA,54838
West Haven,CT,USA,54790
Plainfield,NJ,USA,54670
Lincoln,CA,USA,54538
Berwyn,IL,USA,54414
Wake Forest,NC,USA,54337
Mount Prospect,IL,USA,54298
